assists,birth_date,bonus,bps,can_select,can_transact,chance_of_playing_next_round,chance_of_playing_this_round,clean_sheets,clean_sheets_per_90,code,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,creativity,creativity_rank,creativity_rank_type,defensive_contribution,direct_freekicks_order,direct_freekicks_text,dreamteam_count,element_type,ep_next,ep_this,event_points,expected_assists,expected_assists_per_90,expected_goal_involvements,expected_goal_involvements_per_90,expected_goals,expected_goals_conceded,expected_goals_conceded_per_90,expected_goals_per_90,first_name,form,form_rank,form_rank_type,goals_conceded,goals_conceded_per_90,goals_scored,has_temporary_code,ict_index,ict_index_rank,ict_index_rank_type,id,in_dreamteam,influence,influence_rank,influence_rank_type,minutes,news,news_added,now_cost,now_cost_rank,now_cost_rank_type,opta_code,own_goals,penalties_missed,penalties_order,penalties_saved,penalties_text,photo,points_per_game,points_per_game_rank,points_per_game_rank_type,red_cards,region,removed,saves,saves_per_90,second_name,selected_by_percent,selected_rank,selected_rank_type,special,squad_number,starts,starts_per_90,status,team,team_code,team_join_date,threat,threat_rank,threat_rank_type,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,yellow_cards
0,15/09/1995,10,555,TRUE,TRUE,None,None,13,0.34,154561,None,,0,0,0,0,10.7,342,11,0,None,,0,1,4.5,None,0,0.03,0,0.03,0,0,35.03,0.92,0,David,0,475,76,34,0.89,0,FALSE,76.7,178,8,1,FALSE,755.4,37,8,3420,,None,55,125,4,p154561,0,0,None,0,,154561.jpg,3.7,68,11,0,200,FALSE,86,2.26,Raya Martín,18.4,20,2,FALSE,None,38,1,a,1,3,04/07/2024,0,634,76,142,0,0,0,0,0,25.8,Raya,3
0,03/10/1994,7,406,TRUE,TRUE,None,None,8,0.26,109745,None,,0,0,0,0,10.4,344,12,0,None,,0,1,2.8,None,0,0.03,0,0.09,0,0.06,38.83,1.25,0,Kepa,0,143,50,39,1.26,0,FALSE,75.8,183,9,2,FALSE,744.4,38,9,2790,,None,45,365,21,p109745,0,0,None,0,,109745.jpg,3.4,94,16,0,200,FALSE,97,3.13,Arrizabalaga Revuelta,1,188,28,FALSE,None,31,1,a,1,3,01/07/2025,4,333,1,106,0,0,0,0,0,23.6,Arrizabalaga,3
0,13/04/2002,0,0,TRUE,TRUE,None,None,0,0,463748,None,,0,0,0,0,0,426,45,0,None,,0,1,1.5,None,0,0,0,0,0,0,0,0,0,Karl,0,57,28,0,0,0,FALSE,0,436,54,3,FALSE,0,436,54,0,,None,40,601,60,p463748,0,0,None,0,,463748.jpg,0,439,54,0,67,FALSE,0,0,Hein,0.6,232,32,FALSE,None,0,0,a,1,3,28/10/2020,0,395,30,0,0,0,0,0,0,0,Hein,0
0,13/03/2006,0,0,TRUE,TRUE,None,None,0,0,551221,None,,0,0,0,0,0,461,56,0,None,,0,1,1.5,None,0,0,0,0,0,0,0,0,0,Tommy,0,100,41,0,0,0,FALSE,0,470,65,4,FALSE,0,470,65,0,,None,40,644,73,p551221,0,0,None,0,,551221.jpg,0,473,65,0,241,FALSE,0,0,Setford,0.2,447,61,FALSE,None,0,0,a,1,3,24/07/2024,0,435,43,0,0,0,0,0,0,0,Setford,0
2,19/12/1997,9,459,TRUE,TRUE,None,None,10,0.38,226597,None,,0,0,0,0,208.8,167,36,0,None,,0,2,4.5,None,0,1.21,0.05,3.91,0.15,2.7,23.09,0.88,0.1,Gabriel,0,577,218,22,0.84,3,FALSE,108.2,121,31,5,FALSE,584.6,96,32,2363,,None,60,96,5,p226597,0,0,None,0,,226597.jpg,4.2,32,1,0,30,FALSE,0,0,dos Santos Magalhães,24.9,11,4,FALSE,None,28,1.07,a,1,3,01/09/2020,287,107,12,117,0,0,0,0,0,19.5,Gabriel,4
0,24/03/2001,14,564,TRUE,TRUE,None,None,12,0.36,462424,None,,0,0,0,0,150.1,203,55,0,None,,0,2,4.5,None,0,1.28,0.04,3.7,0.11,2.42,30.32,0.9,0.07,William,0,582,220,29,0.86,2,FALSE,94.2,139,36,6,FALSE,672.6,59,21,3039,,None,60,101,7,p462424,0,0,None,0,,462424.jpg,3.7,70,11,1,73,FALSE,0,0,Saliba,13.6,31,11,FALSE,None,35,1.04,a,1,3,25/07/2019,116,209,62,130,0,0,0,0,0,21.7,Saliba,2
1,19/05/2002,1,142,TRUE,TRUE,None,None,1,0.09,466075,None,,0,0,0,0,118.2,221,65,0,None,,0,2,3.8,None,0,0.69,0.06,1.55,0.14,0.86,10.28,0.95,0.08,Riccardo,0,526,207,12,1.1,2,FALSE,54.6,230,68,7,FALSE,252.6,222,80,978,,None,55,176,25,p466075,0,0,None,0,,466075.jpg,2.1,236,83,0,106,FALSE,0,0,Calafiori,0.6,235,80,FALSE,None,11,1.01,a,1,3,29/07/2024,176,167,35,39,0,0,0,0,0,7.1,Calafiori,4
3,17/06/2001,9,426,TRUE,TRUE,None,None,11,0.41,445122,None,,0,0,0,0,296.8,123,24,0,None,,0,2,3.8,None,0,1.3,0.05,2.53,0.1,1.23,21.09,0.79,0.05,Jurriën,0,522,205,21,0.78,1,FALSE,94.2,138,35,8,FALSE,393,162,56,2415,,None,55,172,23,p445122,0,0,None,0,,445122.jpg,3.8,59,6,0,152,FALSE,0,0,Timber,2.4,117,38,FALSE,None,27,1.01,a,1,3,14/07/2023,254,117,15,114,0,0,0,0,0,20.7,J.Timber,7
0,15/02/2000,2,178,TRUE,TRUE,None,None,3,0.24,440854,None,,0,0,0,0,91.3,244,82,0,None,,0,2,3.8,None,0,0.29,0.02,0.46,0.03,0.17,14.71,1.19,0.01,Jakub,0,517,203,15,1.21,1,FALSE,39.2,261,88,9,FALSE,267.2,214,77,1117,,None,55,167,21,p440854,0,0,None,0,,440854.jpg,2.5,187,65,0,172,FALSE,0,0,Kiwior,0.1,503,193,FALSE,None,10,0.81,a,1,3,23/01/2023,32,286,102,43,0,0,0,0,0,7.8,Kiwior,1
0,26/09/2006,0,237,TRUE,TRUE,None,None,5,0.33,499169,None,,0,0,0,0,170.7,193,49,0,None,,0,2,3.8,None,0,0.51,0.03,0.67,0.04,0.16,16.65,1.1,0.01,Myles,0,537,210,16,1.06,1,FALSE,40,258,85,10,FALSE,176,268,99,1362,,None,55,187,28,p499169,0,0,None,0,,499169.jpg,1.6,297,105,2,241,FALSE,0,0,Lewis-Skelly,5.9,63,23,FALSE,None,15,0.99,a,1,3,04/12/2022,57,257,90,37,0,0,0,0,0,6.7,Lewis-Skelly,3
